Date,Log_Return_AGG,Log_Return_Infrastructure,Log_Return_SP500,Log_Return_Gold
31/12/2022,0.031842074,0.036892355,-0.0607818,0.035714277
31/01/2023,-0.029063865,0,0.0599212,0.060143716
28/02/2023,0.023659529,0,-0.0264594,-0.054470386
31/03/2023,0.002605734,0.023139279,0.0344513,0.079216251
30/04/2023,-0.013401379,0,0.0145362,0.00700802
31/05/2023,-0.006309169,0,0.0024792,-0.009566311
30/06/2023,-0.003271987,0.015449478,0.0627189,-0.028529633
31/07/2023,-0.008743562,0,0.0306639,0.02698135
31/08/2023,-0.028398199,0,-0.0178752,-0.013270967
30/09/2023,-0.0184515,0.008269865,-0.0499461,-0.045122415
31/10/2023,0.041878171,0,-0.0222248,0.072267429
30/11/2023,0.029767451,0,0.0854244,0.020775718
31/12/2023,-0.000403226,0.023559417,0.043279,0.013477326
31/01/2024,-0.019548576,0,0.0157707,-0.008313529
29/02/2024,0.006150081,0,0.0504275,-0.001416777
31/03/2024,-0.027452908,0.02077502,0.0305474,0.079318512
30/04/2024,0.012939761,0,-0.0425057,0.036445544
31/05/2024,0.00620157,0,0.0469038,0.014765328
30/06/2024,0.02120581,0.02428138,0.0340823,-0.001868176
31/07/2024,0.011534153,0,0.0112577,0.040277463
31/08/2024,0.009823944,0,0.0225779,0.03384402
30/09/2024,-0.028241412,0.022399827,0.0199956,0.050087912
31/10/2024,0.007488398,0,-0.0099461,0.039743188
30/11/2024,-0.023357684,0,0.0557198,-0.030112271
31/12/2024,0.00596771,0.029696063,-0.0253077,-0.012905114
